date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
1990-01-01,51.0,5.7095,2.0095,3.9032495,1.7593641,-2.2271795,0.15506011,0,0,1.6000001,1.6000001,0.0,7.0,18.25026,35.28,222.90671,4.09,0.5043406
1990-01-02,71.0,3.0595,0.009499997,1.9595,-0.34737492,-2.7895114,-1.5474685,0,0,1.0,0.70000005,0.21000001,5.0,12.261158,28.8,171.74966,3.29,0.46734214
1990-01-03,73.0,4.4095,1.9595001,2.9345005,1.0555959,-1.5721064,-0.5853299,0,0,11.400002,10.600001,0.56,24.0,17.555307,34.56,141.70381,1.89,0.20130682
1990-01-04,61.0,7.3595,3.2095,4.9178333,3.7784815,0.5730767,1.7922916,0,0,12.599999,12.599999,0.0,14.0,18.806337,38.16,162.8645,2.43,0.27770877
1990-01-05,63.0,8.3595,3.6595001,5.892833,4.4326744,1.859665e-05,2.062605,0,0,17.699999,17.699999,0.0,17.0,32.919827,64.439995,159.80486,0.64,0.16820073
1990-01-06,63.0,7.0095,4.8595,5.792834,3.482235,0.7765026,2.1310127,0,0,23.599998,23.599998,0.0,18.0,23.358423,45.0,143.16841,2.35,0.30293116
1990-01-07,63.0,8.159499,5.5595,6.907416,4.005888,1.843739,3.1457732,0,0,16.5,16.5,0.0,22.0,31.559086,65.159996,182.18007,1.57,0.269437
1990-01-08,53.0,6.9595,4.7095,5.6178336,3.4806132,1.508523,2.6231658,0,0,5.2999997,5.2999997,0.0,13.0,18.792551,36.719997,146.72182,1.83,0.23831247
1990-01-09,61.0,6.8095,3.6595001,5.3261666,4.2393665,-0.84233856,2.0087907,0,0,14.800001,14.800001,0.0,20.0,22.45315,41.760002,203.04062,0.42,0.2832273
1990-01-10,2.0,4.5595,-0.54050004,2.3865836,1.7048535,-4.439511,-1.0552632,0,0,0.0,0.0,0.0,0.0,17.31746,31.319998,281.21347,5.21,0.5620078
1990-01-11,53.0,4.8595,-0.0905,2.0761666,0.56656456,-4.559774,-2.3779335,0,0,2.9,2.9,0.0,7.0,17.10284,35.64,46.105145,2.47,0.6979582
1990-01-12,3.0,7.5095,1.7595,4.4199166,5.2513504,-1.061141,1.7955602,0,0,0.0,0.0,0.0,0.0,13.246826,31.68,43.52044,2.8,0.36785966
1990-01-13,55.0,6.0095,1.6595,4.257417,3.4180746,-1.4679558,1.5587841,0,0,11.599998,11.599998,0.0,19.0,10.182337,19.08,65.01653,0.94,0.18905276
1990-01-14,53.0,7.1095,4.3595,5.6720004,5.1568136,2.002214,3.7219648,0,0,2.3999999,2.3999999,0.0,6.0,6.8777895,14.759999,329.82217,1.17,0.24072927
1990-01-15,53.0,5.8095,2.0595,4.497,3.2323341,-0.05825329,1.9577712,0,0,3.8999999,3.8999999,0.0,11.0,11.183201,23.039999,110.095314,1.9,0.23437499
1990-01-16,3.0,8.0095,1.6095,4.199084,5.1108017,-2.08825,1.1715416,0,0,0.0,0.0,0.0,0.0,11.770403,22.68,359.09222,6.23,0.5461223
1990-01-17,0.0,5.4595,0.3095,2.5074165,2.7082486,-3.5717812,-0.77718955,0,0,0.0,0.0,0.0,0.0,11.440979,19.8,21.116955,6.58,0.64143103
1990-01-18,1.0,5.8595,-1.9405,1.37825,2.8061533,-5.3444505,-1.8490162,0,0,0.0,0.0,0.0,0.0,7.5942082,15.4800005,24.095243,5.47,0.54897904
1990-01-19,2.0,6.0095,-1.1905,2.636583,3.6923814,-5.017983,-0.2535188,0,0,0.0,0.0,0.0,0.0,9.220499,14.4,11.257659,5.83,0.5847529
1990-01-20,3.0,5.4595,0.70949996,3.0782502,3.0293922,-1.9470987,0.5444854,0,0,0.0,0.0,0.0,0.0,4.6800003,11.159999,61.545265,4.6,0.4748867
1990-01-21,61.0,4.6595,2.9595,3.776167,2.2400656,0.22993517,1.088298,0,0,12.7,12.7,0.0,16.0,15.546833,25.919998,93.04911,1.07,0.19429143
1990-01-22,63.0,6.4095,2.9595,4.46575,2.6260786,-2.729712,0.104810245,0,0,21.300001,21.300001,0.0,17.0,29.598919,54.36,188.35208,2.57,0.38573852
1990-01-23,51.0,5.3095,2.3595,3.5199165,-0.038698196,-2.1130652,-0.93458253,0,0,0.4,0.4,0.0,2.0,20.633371,43.92,244.29202,5.5,0.85325927
1990-01-24,71.0,3.8595,2.1095,2.9740832,-0.021485329,-2.4013999,-1.3392531,0,0,16.199997,15.399998,0.56,24.0,21.046917,38.88,160.0253,1.37,0.17387745
1990-01-25,61.0,5.0095,1.9595001,3.3678334,-0.047560215,-3.5134308,-1.474534,0,0,13.799998,13.799998,0.0,15.0,26.983194,52.92,195.59914,1.89,0.48150432
